Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 325td kat Comfort Edition Automatic;Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Sport Edition;Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Sport Edition Automatic;Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Exclusiv Edition;Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Exclusiv Edition Automatic;Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat ;Dizel;143;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Automatic;Dizel;143;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Comfort Edition;Dizel;143;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Comfort Edition Automatic;Dizel;143;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Sport Edition;Dizel;143;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Sport Edition Automatic;Dizel;143;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Exclusiv Edition;Dizel;143;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325tds kat Exclusiv Edition Automatic;Dizel;143;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW M3 ;Bencin;286;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW M3 ;Bencin;321;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Touring ;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Touring Automatic;Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Touring Comfort Edition;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
